tweet_id,tweet_created,keyword,tweet_text,label (1 if disaster),,,,
1652302472793210883,2023-04-29 13:23:02+00:00,ablaze,Ukraine war: Crimea oil tank set ablaze by reported drone https://t.co/BDBDE5s7cp,1,,,,
1652261443469979648,2023-04-29 10:40:00+00:00,ablaze,A huge plume of dark smoke rose in the Crimean port of Sevastopol after an alleged drone attack https://t.co/iWK4tT47Jn https://t.co/K4kapRGMow,1,,,,
1652062635708276739,2023-04-28 21:30:00+00:00,ablaze,"Manipur: Mob sets ablaze new gym ahead of inauguration by CM opposing forest survey, demolition of illegal churches, section 144 imposed and internet snapped  https://t.co/bpYZlNPj9j",0,,,,
1652736184781553666,2023-04-30 18:06:27+00:00,ablaze,「The Fortress Ablaze」 https://t.co/9A6pMisZ2e,0,,,,
1652736164346904577,2023-04-30 18:06:22+00:00,ablaze,"Tulips ablaze in the Skagit Valley in Washington State, USA 🇺🇸 https://t.co/P3MAMflllr",0,,,,
1652735660611043329,2023-04-30 18:04:22+00:00,ablaze,@dpbrugler JJ McCarthy top 15 gonna set our hearts ablaze.,0,,,,
1652735244955701248,2023-04-30 18:02:43+00:00,ablaze,the sky was ablaze with the fire of the setting sun. https://t.co/W8C1kbJUUo,0,,,,
1652734731975372802,2023-04-30 18:00:41+00:00,ablaze,Yoshida is ablaze right now,0,,,,
1652734606049701890,2023-04-30 18:00:11+00:00,ablaze,Looking to reinforce your Arsenal now that you’ve finished The Duviri Paradox Quest?  Set the Origin System ablaze with the Ember Starter Pack: https://t.co/ySjy3utvD7 https://t.co/6YJ0l2VLDd,0,,,,
1652733897246126080,2023-04-30 17:57:22+00:00,ablaze,@Kaizoku_Marimo Set your heart ablaze Go beyond your limits I am the WSS Roronoa Zoro Three sword style Shishi sonson,0,,,,
1652733080350883842,2023-04-30 17:54:07+00:00,ablaze,@NorthBeachJohn1 SF ablaze🔥literally,0,,,,
1652732725122441217,2023-04-30 17:52:42+00:00,ablaze,"Pharrell set the Solar Stage ablaze last night at #SITW with his “Pharrell and Phriends” set — with special guests that included none other than @Diddy, Chris Brown, Busta Rhymes and more!   https://t.co/elsrBcoQ10",0,,,,
1652732438752141316,2023-04-30 17:51:34+00:00,ablaze,@reececameron_ @Arron2Smith And his house set ablaze,1,,,,
